,Date,Content,Source
0,nexteraenergy,2022-02-26 13:16:12+00:00,Great to hear about emerging Green Hydrogen and battery technology from @nexteraenergy @NextEraEnergyR @insideFPL Chairman Eric Silagy last night during the Martin County Economic Council Annual Dinner. #energy #innovation #hydrogen https://t.co/0fjGwiQmba
1,jpr007,2022-02-26 13:10:04+00:00,"RT @jpr007: Electrolysers are the technology that split water into green hydrogen and oxygen using renewable electricity

Demand for electr…"
2,sumant_sinha,2022-02-26 13:03:17+00:00,"RT @sumant_sinha: Government initiatives to promote Green Hydrogen gives me the confidence that it can turn competitive in the future.
@mnr…"
3,enCoreEnergy_EU,2022-02-26 12:54:56+00:00,RT @enCoreEnergy_EU: Hydrogen powered cargo ships are being unveiled but the future of container shipping could be #nuclear-electric power.…
4,CAGNE_GATWICK,2022-02-26 12:54:43+00:00,RT @CAGNE_GATWICK: AirportWatch | Airbus hoping to have a “green” hydrogen-fuelled test flight “in a few years” https://t.co/Y4NhryP2t0
5,mnreindia,2022-02-26 12:53:21+00:00,"Government initiatives to promote Green Hydrogen gives me the confidence that it can turn competitive in the future.
@mnreindia @NITIAayog @livemint
Check out my views in this article - https://t.co/XPAAsEFEWf"
6,DiscoverGenH2,2022-02-26 12:52:48+00:00,"RT @DiscoverGenH2: @DiscoverGenH2 announces NASA hall of fame inventor, @EE_LLC James E. Fesmire as their new Chief Technology Officer! ""Hy…"
7,DiscoverGenH2,2022-02-26 12:51:22+00:00,RT @DiscoverGenH2: Green hydrogen holds enormous promise for industries across the board. Learn more on this topic in our newest hydrogen b…
8,SCVNEWS.com,"Fri, 25 Feb 2022 17:37:30 GMT",SoCalGas Proposes Nation's Largest Green Hydrogen Energy System
9,Reuters,"Fri, 18 Feb 2022 08:00:00 GMT",India plans to produce 5 mln tonnes of green hydrogen by 2030
10,CleanTechnica,"Fri, 25 Feb 2022 15:57:15 GMT",3 Big New Green Hydrogen Projects Launch
11,Seeking Alpha,"Fri, 25 Feb 2022 20:27:00 GMT",Plug Power: Increasing Conviction For The Green Hydrogen Leader
12,ARC Viewpoints,"Wed, 23 Feb 2022 12:00:00 GMT","End-to-End Green Hydrogen Solution to be Created by ABB, IBM, and Worley Collaboration"
13,Reuters,"Tue, 22 Feb 2022 19:09:00 GMT",Portuguese cement and glass companies join green hydrogen consortium
14,FreightWaves,"Sun, 06 Feb 2022 08:00:00 GMT",Could blue hydrogen accelerate transition to green?
15,Creamer Media's Mining Weekly,"Fri, 25 Feb 2022 13:38:00 GMT",Africa capturing green hydrogen projects
